AÑO,MES,PAISDESTINO,ADUANA,PESOTONELADAS,REGIONSALIDA,VIATRANSPORTE,PUERTOEMBARQUE,MONTOFOB,PRECIO_KG
2020,Enero,Estados Unidos de América,San Antonio,38.28,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,144656.0,3.7788923719958203
2020,Enero,Estados Unidos de América,San Antonio,97.875,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,270855.0,2.7673563218390806
2020,Enero,Estados Unidos de América,Valparaíso,19.888,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,99985.82,5.027444690265487
2020,Enero,Estados Unidos de América,Valparaíso,28.242,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,136748.0,4.842008356348701
2020,Enero,Estados Unidos de América,Valparaíso,40.86,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,144475.8,3.535873715124816
2020,Enero,Estados Unidos de América,Valparaíso,31.1872,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,164900.96,5.287456392366099
2020,Enero,Estados Unidos de América,Valparaíso,45.336,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,221461.9,4.884901623433916
2020,Enero,Estados Unidos de América,Valparaíso,123.68687,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,420200.0,3.397288653193342
2020,Enero,Estados Unidos de América,Valparaíso,212.50974,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,1014838.22,4.775490384581902
2020,Enero,Estados Unidos de América,Valparaíso,646.02311,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,2300766.83,3.561431153755475
2020,Enero,Filipinas,Valparaíso,23.2,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,143200.0,6.172413793103448
2020,Enero,Francia,Los Andes,18.727,Valparaíso,Carretero y Terrestre,Cristo Redentor (Los Libertadores),174344.05,9.309769317028888
2020,Enero,Guatemala,San Antonio,1.0672,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,5888.0,5.517241379310345
2020,Enero,Guatemala,San Antonio,3.44,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,5968.0,1.7348837209302326
2020,Enero,Guatemala,San Antonio,2.208,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,9523.0,4.312952898550724
2020,Enero,Honduras,San Antonio,0.72,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,1379.0,1.9152777777777779
2020,Enero,Honduras,Valparaíso,1.104,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,5152.0,4.666666666666666
2020,Enero,Hong Kong (Región administrativa especial de China),San Antonio,22.08,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,98705.14,4.470341485507247
2020,Enero,Hong Kong (Región administrativa especial de China),Valparaíso,20.608,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,95680.0,4.642857142857143
2020,Enero,Hong Kong (Región administrativa especial de China),Valparaíso,23.04,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,96000.0,4.166666666666667
2020,Enero,Hong Kong (Región administrativa especial de China),Valparaíso,21.12,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,103570.96,4.90392803030303
2020,Enero,Hong Kong (Región administrativa especial de China),Valparaíso,43.512,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,216299.37,4.971027992277992
2020,Enero,Hong Kong (Región administrativa especial de China),Valparaíso,119.11334,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,438043.81,3.6775377971938323
2020,Enero,India,Valparaíso,12.40976,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,67623.12,5.44918838075837
2020,Enero,India,Valparaíso,20.768,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,129844.0,6.252118644067797
2020,Enero,Italia,Los Andes,11.098,Valparaíso,Carretero y Terrestre,Cristo Redentor (Los Libertadores),122266.09,11.016948098756531
2020,Enero,Martinica,San Antonio,1.936,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,10318.0,5.329545454545455
2020,Enero,México,San Antonio,82.16,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,87081.98,1.0599072541382668
2020,Enero,México,San Antonio,35.89,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,34540.0,0.962385065477849
2020,Enero,México,San Antonio,19.575,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,54171.0,2.7673563218390806
2020,Enero,Nicaragua,San Antonio,0.72,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,3540.0,4.916666666666667
2020,Enero,Otros,Valparaíso,13.824,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,88108.86,6.373615451388889
2020,Enero,Países Bajos,San Antonio,20.784,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,109928.05,5.289070919938415
2020,Enero,Países Bajos,Valparaíso,5.71632,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,21033.04,3.6794721079295774
2020,Enero,Países Bajos,Valparaíso,10.08,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,21655.62,2.148375
2020,Enero,Países Bajos,Valparaíso,21.768,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,91058.04,4.183114663726571
2020,Enero,Panamá,San Antonio,1.104,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,2208.0,1.9999999999999998
2020,Enero,Panamá,San Antonio,0.36,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,3040.06,8.444611111111112
2020,Enero,Panamá,Valparaíso,0.348,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,4237.0,12.17528735632184
2020,Enero,Perú,San Antonio,12.1465,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,26316.38,2.1665813197217307
2020,Enero,Perú,San Antonio,52.448,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,107280.0,2.0454545454545454
2020,Enero,Perú,Valparaíso,13.2,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,27600.0,2.090909090909091
2020,Enero,Puerto Rico,San Antonio,17.524,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,40349.93,2.302552499429354
2020,Enero,Reino Unido,San Antonio,21.344,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,69367.99,3.2499995314842582
2020,Enero,Reino Unido,San Antonio,34.144,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,143621.59,4.206349285379568
2020,Enero,Reino Unido,San Antonio,40.32,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,182556.12,4.527681547619047
2020,Enero,Reino Unido,San Antonio,85.2948,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,342772.0,4.018674057504092
2020,Enero,Reino Unido,San Antonio,85.76,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,386411.58,4.505732042910448
2020,Enero,Reino Unido,San Antonio,136.96,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,626448.0,4.5739485981308405
2020,Enero,Reino Unido,Valparaíso,11.04,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,40120.55,3.634107789855073
2020,Enero,Reino Unido,Valparaíso,22.272,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,96416.78,4.329058010057472
2020,Enero,Reino Unido,Valparaíso,43.4976,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,170885.77,3.92862525748547
2020,Enero,Reino Unido,Valparaíso,127.696,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,534235.12,4.183648039092845
2020,Enero,Reino Unido,Valparaíso,284.1848,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,1186219.05,4.174111528836166
2020,Enero,República Dominicana,San Antonio,4.2688,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,16192.0,3.793103448275862
2020,Enero,República Dominicana,San Antonio,3.312,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,21191.28,6.398333333333333
2020,Enero,Singapur,Valparaíso,20.976,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,76840.62,3.6632637299771167
2020,Enero,Tailandia,Valparaíso,23.04,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,145565.04,6.317927083333334
2020,Enero,Tailandia,Valparaíso,44.16,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,256727.01,5.813564538043479
2020,Enero,Tailandia,Valparaíso,41.952,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,258720.81,6.167067362700229
2020,Enero,Tailandia,Valparaíso,60.654,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,337027.85,5.55656428265242
2020,Enero,Tailandia,Valparaíso,45.712,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,371708.8,8.13153657682884
2020,Enero,Tailandia,Valparaíso,68.95936,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,444899.47,6.451618315483205
2020,Enero,Tailandia,Valparaíso,107.088,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,518632.85,4.843052909756462
2020,Enero,Taiwán (Formosa),San Antonio,4.2688,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,23759.0,5.56573275862069
2020,Enero,Taiwán (Formosa),San Antonio,21.882,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,109410.0,5.0
2020,Enero,Taiwán (Formosa),San Antonio,20.9115,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,162232.15,7.758035052483083
2020,Enero,Taiwán (Formosa),San Antonio,44.5382,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,297715.0,6.684486575568837
2020,Enero,Taiwán (Formosa),San Antonio,61.68944,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,364917.44,5.915395568512213
2020,Enero,Taiwán (Formosa),Valparaíso,21.504,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,109214.58,5.078803013392857
2020,Enero,Taiwán (Formosa),Valparaíso,21.87,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,134516.95,6.150752171925012
2020,Enero,Taiwán (Formosa),Valparaíso,22.272,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,179012.0,8.03753591954023
2020,Enero,Taiwán (Formosa),Valparaíso,42.5216,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,306975.1,7.219274439343769
2020,Enero,Taiwán (Formosa),Valparaíso,77.3928,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,472604.96,6.106575288657344
2020,Enero,Taiwán (Formosa),Valparaíso,67.842,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,575998.69,8.490296424044102
2020,Enero,Taiwán (Formosa),Valparaíso,105.5856,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,771629.93,7.30809816868967
2020,Enero,Taiwán (Formosa),Valparaíso,148.72,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,979573.86,6.586698897256589
2020,Enero,Taiwán (Formosa),Valparaíso,256.0389,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,1643985.48,6.420842614149646
2020,Enero,Territorio Francés en América,San Antonio,4.416,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,22080.0,5.0
2020,Enero,Uruguay,Los Andes,7.72,Valparaíso,Carretero y Terrestre,Cristo Redentor (Los Libertadores),22560.0,2.922279792746114
2020,Febrero,Reino Unido,Coyhaique,135.937,Aysén del General C. Ibañez del Campo,Carretero y Terrestre,Chile Chico,746942.0,5.494765957759844
2020,Febrero,China,Talcahuano,21.344,Biobío,"Marítima, Fluvial y Lacustre",Coronel,23946.21,1.1219176349325337
2020,Febrero,China,Talcahuano,42.688,Biobío,"Marítima, Fluvial y Lacustre",Coronel,101050.77,2.3671938249625186
2020,Febrero,China,Talcahuano,77.44,Biobío,"Marítima, Fluvial y Lacustre",Coronel,114648.6,1.4804829545454548
2020,Febrero,China,Talcahuano,84.128,Biobío,"Marítima, Fluvial y Lacustre",Coronel,279695.95,3.3246475608596424
